epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.344514626749,-0.344514626749,0.428124864399,-0.428124864399
1,0.442198694944,-0.442198694944,0.468050944805,-0.468050944805
2,0.464866134897,-0.464866134897,0.474220979214,-0.474220979214
3,0.47671795927,-0.47671795927,0.492301015556,-0.492301015556
4,0.494750299528,-0.494750299528,0.487654209137,-0.487654209137
5,0.512237398997,-0.512237398997,0.490697205067,-0.490697205067
6,0.524999876246,-0.524999876246,0.490864401683,-0.490864401683
7,0.544752702042,-0.544752702042,0.508644509315,-0.508644509315
8,0.558722493276,-0.558722493276,0.497661911696,-0.497661911696
9,0.576737641394,-0.576737641394,0.506177271158,-0.506177271158
