epoch,dice_coef,loss,val_dice_coef,val_loss
0,0.440367540494,-0.440367540204,0.602854916958,-0.602854916635
1,0.607653616875,-0.607653616421,0.657408749038,-0.657408749636
2,0.646778352116,-0.64677835186,0.667788284189,-0.667788284522
3,0.677186153969,-0.677186154388,0.705965108856,-0.705965110424
4,0.695292726927,-0.695292726043,0.704941823985,-0.704941824809
5,0.711463442259,-0.711463442584,0.729468287371,-0.729468285763
6,0.716977046896,-0.716977047781,0.731569999991,-0.731570001324
7,0.724990802957,-0.724990803376,0.741195399598,-0.741195398148
8,0.727441514097,-0.727441515122,0.740687998208,-0.740687998404
9,0.748420540011,-0.748420540337,0.751300883117,-0.751300880529
10,0.749869073601,-0.749869071646,0.757622320381,-0.757622322264
11,0.748184413463,-0.748184413323,0.758915712253,-0.758915713077
12,0.754751496995,-0.754751495225,0.75895113198,-0.758951130686
13,0.763987173326,-0.763987173233,0.755948723186,-0.755948724421
14,0.759646048653,-0.759646047768,0.757526290721,-0.757526289819
15,0.759733611671,-0.759733611951,0.76714788693,-0.767147888792
16,0.767851688107,-0.76785168848,0.768191637354,-0.768191636295
17,0.762383300113,-0.762383300019,0.764836714652,-0.76483671473
18,0.771514806151,-0.771514807176,0.770943172609,-0.770943177315
19,0.774500888586,-0.774500887329,0.769744766229,-0.769744766386
20,0.776465828111,-0.776465828996,0.769400612069,-0.769400612618
21,0.774533597566,-0.774533596868,0.770169142575,-0.770169144536
22,0.783942978363,-0.783942979155,0.766358558285,-0.766358559775
23,0.776294839755,-0.776294840174,0.766878010646,-0.766878011901
24,0.784614633583,-0.784614632884,0.773528442228,-0.773528444777
25,0.78330554571,-0.783305543335,0.770534255699,-0.770534257022
26,0.785583028849,-0.78558302871,0.771135476614,-0.771135475781
27,0.784690214135,-0.78469021325,0.773417755334,-0.773417756922
28,0.788305702526,-0.788305703644,0.77008584924,-0.770085849358
29,0.784627274424,-0.7846272761,0.773570970995,-0.773570968877
30,0.789772218,-0.789772216696,0.773757509289,-0.773757510377
31,0.790315792337,-0.790315793594,0.773909586001,-0.773909585884
32,0.789507466974,-0.789507465484,0.774716138016,-0.774716139114
33,0.79120996159,-0.791209959728,0.774308407777,-0.774308407738
34,0.793925698986,-0.793925700802,0.775331842948,-0.775331844321
35,0.794940550905,-0.794940550392,0.775927727552,-0.775927727454
36,0.788427793933,-0.788427796587,0.77500496493,-0.775004965322
37,0.799194341712,-0.799194341153,0.777076637333,-0.777076635569
38,0.794651539065,-0.794651539996,0.775793158322,-0.77579316091
39,0.800599195203,-0.800599194085,0.775879438849,-0.775879440064
40,0.796076654084,-0.796076655574,0.77539262903,-0.775392628402
41,0.802644598857,-0.802644596808,0.775768787531,-0.775768787492
42,0.795153605426,-0.795153606962,0.77682168323,-0.776821682994
43,0.800885945931,-0.800885946117,0.776206172767,-0.776206170709
44,0.794630188821,-0.794630188122,0.777379099084,-0.777379100652
45,0.805734445853,-0.805734446086,0.77410507112,-0.774105070257
46,0.796323622996,-0.79632362444,0.776035262527,-0.776035263781
47,0.799774922989,-0.799774923641,0.776325253789,-0.77632525277
48,0.806105852546,-0.806105854176,0.777061668705,-0.777061671842
49,0.799107702496,-0.799107702216,0.776947805913,-0.776947804344
